Menu Item,Calories
Original Recipe® Chicken- Whole Wing,140
Original Recipe® Chicken- Breast,320
Original Recipe® Chicken-Breast without skin or breading,130
Original Recipe® Chicken- Drumstick,120
Original Recipe® Chicken- Thigh,290
Extra Crispy™ Chicken- Whole Wing,210
Extra Crispy™ Chicken- Breast,490
Extra Crispy™ Chicken- Drumstick,160
Extra Crispy™ Chicken- Thigh,370
Spicy Crispy Chicken- Whole Wing,160
Spicy Crispy Chicken- Breast,520
Spicy Crispy Chicken- Drumstick,150
Spicy Crispy Chicken- Thigh,350
Kentucky Grilled Chicken®- Whole Wing,80
Kentucky Grilled Chicken®- Breast,220
Kentucky Grilled Chicken®- Drumstick,90
Kentucky Grilled Chicken®- Thigh,170
Extra Crispy™ Tenders (3),380
Extra Crispy™ Tenders (2),250
Extra Crispy™ Tenders (1) - Kids,130
Original Recipe® Bites (4) - Kids,130
Original Recipe® Bites (6),200
Original Recipe® Bites (10),330
Hot Wings™ (1),70
HBBQ Hot Wings™ (1),80
Fiery Buffalo Hot Wings™ (1),70
Chicken Littles®,310
Chicken Littles® without Sauce,210
Crispy Twister®,610
Crispy Twister® without Sauce,490
Honey BBQ Sandwich,320
Colonel's Original Sandwich,450
Doublicious®,530
"Pot Pie, Bowls, Value Boxes & Go Cup",
Chicken Pot Pie,790
KFC Famous Bowls®-Mashed Potato with Gravy,650
Snack-Size Bowl,280
Original Recipe® Bites Snack Box,420
Extra Crispy™ Tenders Go Cup,540
Original Recipe® Bites Go Cup,420
Chicken Littles® Go Cup,600
Hot Wings™ Go Cup,490
HBBQ Hot Wings™ Go Cup,540
Fiery Buffalo Hot Wings™ Go Cup,510
Hot Wings™ Value Box,490
Fiery Buffalo Hot Wings™ Value Box,510
HBBQ Hot Wings™ Value Box,540
Grilled Drumstick Value Box,380
OR Drumstick Value Box,400
EC Drumstick Value Box,450
Grilled Thigh Value Box,460
OR Thigh Value Box,540
EC Thigh Value Box,660
Crispy Chicken Caesar Salad without Dressing & Croutons,330
Caesar Side Salad without Dressing & Croutons,40
Crispy Chicken BLT Salad without Dressing,350
House Side Salad without Dressing,15
Heinz Buttermilk Ranch Dressing (1),160
Hidden Valley® The Original Ranch® Fat Free Dressing (1),35
Marzetti Light Italian Dressing (1),15
KFC® Creamy Parmesan Caesar Dressing (1),260
Parmesan Garlic Croutons Pouch (1),70
Green Beans,25
Mashed Potatoes with Gravy,120
Mashed Potatoes without Gravy,90
Gravy (with Bites),50
Macaroni and Cheese,170
Potato Wedges,290
"Corn on the Cob (3"")",70
BBQ Baked Beans,210
Cole Slaw,170
Biscuit,180
Sweet Kernel Corn,100
KFC® Cornbread Muffin,210
GoGo squeeZ™ Applesauce,60
KFC® Gizzards,190
KFC® Livers,150
Country Fried Steak without Peppered White Gravy,360
Country Fried Steak with Peppered White Gravy,390
Jalapeno Peppers,20
Honey Sauce Packet,30
Colonel's Buttery Spread,30
Bacon Ranch Dipping Sauce Cup,140
Creamy Buffalo Dipping Sauce Cup,70
Orange Ginger Dipping Sauce Cup,50
Sweet and Sour Dipping Sauce Cup,45
Honey Mustard Dipping Sauce Cup,120
Creamy Ranch Dipping Sauce Cup,100
HBBQ Dipping Sauce Cup,40
Apple Turnover (1),230
Cafe Valley Bakery® Chocolate Chip Cake (6 slices per cake),300
